Y,X,fid,cat,value,id,c-area,drn_id,base
-54320.15816373,22530.50555197,"1","1",1,"1","1","12127",130.08
-54320.15816373,22555.50555197,"2","2",1,"1","1","12127",130.25
-54345.15816373,22530.50555197,"3","3",1,"1","1","12127",130.06
-54370.15816373,22530.50555197,"4","4",1,"1","1","12127",130
-54395.15816373,22505.50555197,"5","5",1,"1","1","12127",129.92
-54395.15816373,22530.50555197,"6","6",1,"1","1","12127",129.3
-54420.15816373,22480.50555197,"7","7",1,"1","1","12127",129.95
-54420.15816373,22505.50555197,"8","8",1,"1","1","12127",130.28
-54445.15816373,22455.50555197,"9","9",1,"1","1","12127",129.8
-54445.15816373,22480.50555197,"10","10",1,"1","1","12127",130.14
-54445.15816373,22580.50555197,"11","11",1,"3","3","10117",132.12
-54470.15816373,22305.50555197,"12","12",1,"1","1","12127",132.38
-54470.15816373,22430.50555197,"13","13",1,"1","1","12127",129.8
-54470.15816373,22580.50555197,"14","14",1,"3","3","10117",128.75
-54495.15816373,22305.50555197,"15","15",1,"1","1","12127",129.61
-54495.15816373,22430.50555197,"16","16",1,"1","1","12127",130.42
-54495.15816373,22580.50555197,"17","17",1,"3","3","10117",128.60001
-54520.15816373,22255.50555197,"18","18",1,"1","1","12127",128.89999
-54520.15816373,22280.50555197,"19","19",1,"1","1","12127",129.34
-54520.15816373,22405.50555197,"20","20",1,"1","1","12127",129.73
-54520.15816373,22580.50555197,"21","21",1,"3","3","10117",128.60001
-54545.15816373,22230.50555197,"22","22",1,"1","1","12127",128.91
-54545.15816373,22380.50555197,"23","23",1,"1","1","12127",130
-54545.15816373,22580.50555197,"24","24",1,"3","3","10117",128.5
-54570.15816373,22205.50555197,"25","25",1,"1","1","12127",128.81
-54570.15816373,22355.50555197,"26","26",1,"1","1","12127",129.22
-54570.15816373,22455.50555197,"27","27",1,"3","3","10117",128.06
-54570.15816373,22580.50555197,"28","28",1,"3","3","10117",128.50999
-54595.15816373,22230.50555197,"29","29",1,"1","1","12127",128.7
-54595.15816373,22330.50555197,"30","30",1,"1","1","12127",128.89999
-54595.15816373,22455.50555197,"31","31",1,"3","3","10117",130.13
-54595.15816373,22580.50555197,"32","32",1,"3","3","10117",129.28999
-54620.15816373,22230.50555197,"33","33",1,"1","1","12127",128.78
-54620.15816373,22330.50555197,"34","34",1,"1","1","12127",129.12
-54620.15816373,22455.50555197,"35","35",1,"3","3","10117",128.48
-54620.15816373,22580.50555197,"36","36",1,"3","3","10117",128.31
-54645.15816373,22130.50555197,"37","37",1,"2","2","11217",128.2
-54645.15816373,22255.50555197,"38","38",1,"1","1","12127",130.61
-54645.15816373,22280.50555197,"39","39",1,"1","1","12127",128.69
-54645.15816373,22305.50555197,"40","40",1,"1","1","12127",129.13
-54645.15816373,22455.50555197,"41","41",1,"3","3","10117",128.39999
-54645.15816373,22580.50555197,"42","42",1,"3","3","10117",128.28
-54670.15816373,22105.50555197,"43","43",1,"2","2","11217",127.54
-54670.15816373,22130.50555197,"44","44",1,"2","2","11217",127.93
-54670.15816373,22280.50555197,"45","45",1,"1","1","12127",131.25
-54670.15816373,22455.50555197,"46","46",1,"3","3","10117",128.39999
-54670.15816373,22580.50555197,"47","47",1,"3","3","10117",128.64
-54695.15816373,22080.50555197,"48","48",1,"2","2","11217",127.5
-54695.15816373,22105.50555197,"49","49",1,"2","2","11217",127.77
-54695.15816373,22205.50555197,"50","50",1,"2","2","11217",127.86
-54695.15816373,22230.50555197,"51","51",1,"2","2","11217",128.05
-54695.15816373,22455.50555197,"52","52",1,"3","3","10117",128
-54695.15816373,22555.50555197,"53","53",1,"3","3","10117",127.9
-54695.15816373,22580.50555197,"54","54",1,"3","3","10117",128.50999
-54695.15816373,22855.50555197,"55","55",1,"3","3","10117",141.78
-54695.15816373,22880.50555197,"56","56",1,"3","3","10117",136.10001
-54695.15816373,22905.50555197,"57","57",1,"3","3","10117",141.77
-54695.15816373,22930.50555197,"58","58",1,"3","3","10117",140.2
-54720.15816373,22030.50555197,"59","59",1,"2","2","11217",127.14
-54720.15816373,22055.50555197,"60","60",1,"2","2","11217",127.2
-54720.15816373,22180.50555197,"61","61",1,"2","2","11217",127.8
-54720.15816373,22205.50555197,"62","62",1,"2","2","11217",127.89
-54720.15816373,22455.50555197,"63","63",1,"3","3","10117",128.02
-54720.15816373,22555.50555197,"64","64",1,"3","3","10117",127.86
-54720.15816373,22580.50555197,"65","65",1,"3","3","10117",128.69
-54720.15816373,22855.50555197,"66","66",1,"3","3","10117",140.25999
-54745.15816373,22005.50555197,"67","67",1,"2","2","11217",127
-54745.15816373,22030.50555197,"68","68",1,"2","2","11217",127
-54745.15816373,22155.50555197,"69","69",1,"2","2","11217",127.7
-54745.15816373,22180.50555197,"70","70",1,"2","2","11217",127.86
-54745.15816373,22455.50555197,"71","71",1,"3","3","10117",128
-54745.15816373,22555.50555197,"72","72",1,"3","3","10117",127.83
-54745.15816373,22830.50555197,"73","73",1,"3","3","10117",140.17
-54745.15816373,22855.50555197,"74","74",1,"3","3","10117",134.60001
-54770.15816373,22005.50555197,"75","75",1,"2","2","11217",127.09
-54770.15816373,22030.50555197,"76","76",1,"2","2","11217",127.26
-54770.15816373,22155.50555197,"77","77",1,"2","2","11217",127.7
-54770.15816373,22180.50555197,"78","78",1,"2","2","11217",129.32001
-54770.15816373,22455.50555197,"79","79",1,"3","3","10117",127.96
-54770.15816373,22555.50555197,"80","80",1,"3","3","10117",127.8
-54770.15816373,22830.50555197,"81","81",1,"3","3","10117",139.88
-54770.15816373,22855.50555197,"82","82",1,"3","3","10117",139.7
-54795.15816373,21980.50555197,"83","83",1,"2","2","11217",127.08
-54795.15816373,22005.50555197,"84","84",1,"2","2","11217",126.82
-54795.15816373,22105.50555197,"85","85",1,"2","2","11217",127.31
-54795.15816373,22130.50555197,"86","86",1,"2","2","11217",127.31
-54795.15816373,22455.50555197,"87","87",1,"3","3","10117",128.07001
-54795.15816373,22555.50555197,"88","88",1,"3","3","10117",128
-54795.15816373,22830.50555197,"89","89",1,"3","3","10117",133.5
-54820.15816373,22005.50555197,"90","90",1,"2","2","11217",126.7
-54820.15816373,22080.50555197,"91","91",1,"2","2","11217",127
